,Season,Team ID,TKey,Def Assisted Tackles,Def Blitzes,Def Combined Tackles,Def Defensive Completions,Def Defensive Targets,Def Forced Fumbles,Def Fumble Recoveries,Def Hurries,Def Interceptions,Def Knockdowns,Def Misc Assists,Def Misc Forced Fumbles,Def Misc Fumble Recoveries,Def Misc Tackles,Def Missed Tackles,Def Passes Defended,Def QB Hits,Def Sack Yards,Def Sacks,Def Safeties,Def Special Team Assists,Def Special Team Bocks,Def Special Team Forced Fumbles,Def Special Team Fumble Recoveries,Def Special Team Tackles,Def Tackles,Def Tackles for Loss,Def Tackles for Loss Yards
10,2012,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72012,202,0,809,307,524,16,14,149,15,65,0,0,6,15,61,116,110,269.0,44.0,1,29,2,1,1,98,607,88.0,15.0
11,2012,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152012,310,0,1008,371,529,13,6,157,19,58,0,0,4,18,130,69,88,241.0,39.0,1,21,2,0,1,63,698,82.0,0.0
12,2012,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02012,246,0,868,318,513,18,7,156,16,63,0,0,2,16,60,75,97,364.0,52.0,2,10,1,1,5,62,622,83.0,0.0
13,2012,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22012,142,0,815,275,424,11,3,88,7,24,0,0,5,24,84,65,51,161.0,27.0,1,2,1,3,6,53,673,71.0,0.0
14,2012,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12012,250,0,896,346,488,8,6,119,11,80,4,0,9,18,96,55,85,185.0,25.0,0,10,3,1,4,71,646,77.0,0.0
15,2012,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602012,318,0,921,317,471,13,7,140,7,47,2,0,6,18,95,54,77,211.0,34.0,0,27,0,1,6,66,603,59.0,0.0
16,2012,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802012,178,0,839,290,454,9,4,143,8,47,1,0,13,22,105,72,64,198.0,30.0,0,11,1,4,1,81,661,78.0,0.0
17,2012,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2012,279,0,984,340,496,11,9,154,21,45,6,0,5,16,83,67,64,231.0,33.0,0,23,0,5,7,104,705,69.0,0.0
18,2012,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242012,345,0,946,391,588,12,9,169,21,58,0,0,14,13,114,93,77,202.0,32.0,0,24,1,0,3,82,601,61.0,0.0
19,2012,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82012,204,0,846,348,557,23,16,177,24,32,0,0,9,20,82,96,66,289.0,41.0,0,22,2,3,7,49,642,80.0,0.0
20,2012,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2012,229,0,870,340,504,9,5,128,11,68,0,0,2,23,110,61,100,230.0,34.0,1,10,1,2,4,80,641,96.0,0.0
21,2012,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322012,273,0,907,309,526,8,4,116,18,38,0,0,4,15,67,92,86,296.0,47.0,0,22,1,0,5,66,634,73.0,45.0
22,2012,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522012,270,0,949,387,567,13,12,167,10,60,0,0,5,18,106,76,88,284.0,44.0,0,9,4,3,3,71,679,75.0,0.0
23,2012,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692012,190,0,877,407,587,10,6,155,18,48,0,0,7,15,120,82,62,193.0,27.0,0,9,3,1,4,65,687,105.0,17.0
24,2012,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292012,187,0,829,335,521,15,11,153,20,44,0,0,3,15,126,82,70,182.0,29.0,0,9,0,0,0,68,642,70.0,18.0
25,2012,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142012,339,0,957,367,528,15,10,143,11,48,2,0,9,12,124,64,68,284.0,39.0,1,20,0,2,3,70,618,63.0,0.0
26,2012,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732012,317,0,955,362,563,10,10,156,15,45,0,0,6,15,122,90,81,194.0,30.0,0,11,2,1,1,67,638,60.0,0.0
27,2012,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92012,215,0,869,330,520,12,9,143,14,37,0,0,13,11,64,76,70,270.0,38.0,1,18,2,3,4,79,654,67.0,0.0
28,2012,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2012,190,0,868,268,456,12,8,119,22,62,0,0,4,21,91,78,85,228.0,38.0,0,14,3,1,9,72,678,69.0,23.0
29,2012,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82012,273,0,846,324,512,16,9,124,18,49,0,0,6,13,79,78,80,247.0,36.0,0,37,2,2,5,59,573,56.0,15.0
30,2013,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242013,344,0,1035,306,544,12,6,205,23,52,0,0,11,21,92,91,99,395.0,57.0,0,33,0,0,6,82,691,98.0,452.0
31,2013,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062013,234,0,954,342,571,8,5,211,18,66,0,0,6,21,111,78,95,272.0,42.0,1,11,2,2,3,75,720,68.0,308.0
32,2013,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32013,334,0,935,341,562,9,1,164,13,48,2,0,8,18,99,62,83,227.0,41.0,1,32,2,1,1,68,601,85.0,338.0
33,2013,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2013,393,0,996,330,588,11,9,169,17,56,0,0,9,11,83,78,96,305.0,48.0,0,33,1,0,9,41,603,68.0,299.0
34,2013,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232013,306,0,920,362,627,13,11,171,20,67,2,0,5,25,112,96,105,279.0,43.0,0,25,3,0,4,67,614,65.0,270.0
35,2013,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2013,361,0,978,365,588,7,6,170,14,48,0,0,5,19,129,84,83,185.0,40.0,0,14,0,1,2,59,617,65.0,249.0
36,2013,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2013,360,0,945,310,548,14,5,175,16,60,2,0,8,20,102,98,84,257.0,40.0,0,8,0,0,3,78,585,77.0,331.0
37,2013,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982013,276,0,915,328,550,14,10,171,10,51,0,0,5,19,109,70,72,198.0,34.0,1,21,1,2,1,81,639,60.0,258.0
38,2013,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92013,279,0,920,320,524,15,10,153,15,49,4,0,3,7,95,77,81,248.0,42.0,2,22,2,4,5,63,641,60.0,276.0
39,2013,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2013,204,0,907,346,548,14,10,142,11,54,2,0,12,16,120,71,78,225.0,31.0,3,10,1,1,0,67,703,58.0,270.0
40,2013,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72013,208,0,848,286,484,8,4,171,7,75,0,1,10,22,108,68,105,183.0,32.0,1,8,2,1,0,75,640,70.0,231.0
41,2013,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152013,198,0,865,340,543,13,12,170,13,50,0,0,14,19,105,86,75,227.0,36.0,0,28,2,1,3,68,667,68.0,296.0
42,2013,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02013,226,0,895,349,598,14,9,241,17,54,0,0,6,15,94,97,92,290.0,41.0,0,15,2,2,3,59,669,94.0,351.0
43,2013,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22013,122,0,826,331,566,12,11,220,21,45,0,0,5,15,96,100,76,309.0,47.0,0,10,0,1,7,73,704,69.0,326.0
44,2013,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12013,214,0,934,370,530,17,10,165,9,66,2,0,11,21,133,40,78,260.0,38.0,0,17,4,2,7,67,720,84.0,351.0
45,2013,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602013,243,0,955,399,606,13,11,165,15,51,2,0,8,15,122,66,64,246.0,34.0,0,9,1,0,3,65,712,71.0,332.0
46,2013,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802013,202,0,941,410,654,11,11,199,19,62,0,0,6,14,113,96,69,271.0,37.0,2,17,1,2,1,71,739,73.0,344.0
47,2013,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2013,259,0,1001,358,590,13,9,175,17,65,0,0,9,27,98,80,90,206.0,34.0,0,24,1,2,3,73,742,73.0,266.0
48,2013,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242013,325,0,943,335,518,12,9,154,16,48,1,0,12,29,141,62,72,238.0,36.0,0,26,0,0,3,76,618,76.0,287.0
49,2013,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82013,213,0,882,314,497,17,8,129,19,36,0,0,7,11,134,62,48,189.0,31.0,0,14,0,2,5,61,669,66.0,276.0
50,2013,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2013,214,0,801,341,564,8,7,196,15,62,4,0,11,25,98,88,90,249.0,33.0,2,22,0,3,0,60,587,76.0,329.0
51,2013,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322013,277,0,927,324,532,13,11,156,11,31,1,1,7,16,104,66,63,238.0,44.0,0,16,2,2,2,79,650,80.0,292.0
52,2013,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522013,329,0,1015,417,623,11,6,185,12,58,1,0,6,23,136,60,88,274.0,41.0,0,12,0,1,4,71,686,84.0,373.0
53,2013,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692013,252,0,927,350,535,13,7,161,21,54,0,0,6,17,138,73,85,255.0,35.0,1,7,2,2,5,56,675,86.0,310.0
54,2013,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292013,305,0,940,333,519,13,10,135,10,33,0,0,3,17,126,58,59,231.0,32.0,0,18,0,0,2,50,635,60.0,256.0
55,2013,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142013,281,0,896,373,574,11,9,198,20,71,0,0,4,15,108,67,105,409.0,60.0,0,12,1,0,2,49,615,92.0,480.0
56,2013,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732013,280,0,843,303,498,10,7,161,12,53,0,1,3,12,76,68,95,336.0,49.0,0,10,0,2,0,54,563,78.0,370.0
57,2013,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92013,170,0,851,336,560,11,9,199,18,49,0,0,2,14,88,82,81,283.0,38.0,1,19,2,1,7,87,681,73.0,308.0
58,2013,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2013,109,0,795,367,610,11,8,194,20,86,2,0,5,23,90,102,115,337.0,47.0,2,17,2,0,7,77,686,93.0,426.0
59,2013,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82013,324,0,900,303,494,14,9,199,28,72,2,1,10,12,74,91,99,297.0,44.0,2,27,1,2,4,53,576,70.0,332.0
60,2014,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242014,281,0,966,336,542,13,9,163,19,50,0,0,7,13,106,75,99,308.0,54.0,1,23,3,1,4,66,685,96.0,354.0
61,2014,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062014,193,0,887,333,538,12,11,184,14,51,0,0,10,15,110,54,74,211.0,39.0,3,11,5,1,3,78,694,76.0,294.0
62,2014,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32014,316,0,932,340,520,7,4,136,6,57,0,1,9,17,98,56,108,310.0,45.0,1,28,0,1,5,68,616,69.0,318.0
63,2014,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2014,302,0,918,339,571,14,9,163,16,54,2,0,7,10,114,66,82,282.0,40.0,0,20,5,1,2,64,616,71.0,332.0
64,2014,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232014,387,0,978,363,627,4,5,151,20,58,3,1,7,21,119,96,75,125.0,20.0,3,21,1,2,2,63,591,60.0,212.0
65,2014,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2014,398,0,1017,329,551,11,6,146,21,38,1,1,8,15,98,96,70,186.0,31.0,1,34,3,3,3,59,619,66.0,309.0
66,2014,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2014,361,0,967,379,605,14,10,170,11,83,0,0,5,16,115,75,118,362.0,49.0,1,11,3,2,3,48,606,75.0,407.0
67,2014,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982014,276,0,862,349,533,11,9,153,11,67,0,0,5,17,104,54,83,194.0,33.0,1,25,0,1,1,71,586,61.0,282.0
68,2014,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92014,253,0,868,320,539,18,13,134,12,56,2,1,12,22,102,75,86,257.0,41.0,0,19,1,2,3,53,615,74.0,329.0
69,2014,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2014,309,0,997,349,537,19,13,113,6,37,0,0,6,20,137,47,75,275.0,45.0,1,23,0,0,2,64,688,84.0,299.0
70,2014,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72014,292,0,948,362,614,16,12,178,20,94,0,0,8,16,106,94,116,251.0,38.0,1,22,2,1,3,67,656,79.0,337.0
71,2014,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152014,273,0,955,341,562,5,4,148,12,46,2,0,11,15,110,69,67,222.0,39.0,1,15,2,0,1,65,682,89.0,342.0
72,2014,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02014,182,0,852,391,628,15,5,184,18,59,0,0,9,16,105,91,93,252.0,41.0,1,14,2,0,4,60,670,88.0,337.0
73,2014,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22014,147,0,844,314,541,10,5,167,6,38,0,0,7,14,117,74,85,253.0,46.0,0,5,0,3,2,83,697,71.0,282.0
74,2014,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12014,226,0,921,341,534,10,4,150,9,42,2,0,11,21,142,58,56,157.0,22.0,0,8,2,2,2,70,695,77.0,276.0
75,2014,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602014,232,0,874,366,562,15,13,153,18,55,0,0,5,19,126,71,79,156.0,28.0,0,13,1,0,2,67,642,64.0,219.0
76,2014,386bdbf9-9eea-4869-bb9a-274b0bc66e80,386bdbf9-9eea-4869-bb9a-274b0bc66e802014,192,0,908,341,590,22,15,209,12,59,3,0,6,29,109,82,80,357.0,49.0,0,11,6,2,4,75,716,95.0,411.0
77,2014,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,04aa1c9d-66da-489d-b16a-1dee3f2eec4d2014,257,0,949,321,545,14,7,160,17,62,2,0,6,19,118,75,96,313.0,47.0,0,20,1,1,2,68,692,78.0,330.0
78,2014,22052ff7-c065-42ee-bc8f-c4691c50e624,22052ff7-c065-42ee-bc8f-c4691c50e6242014,265,0,901,340,542,14,9,170,7,50,0,0,15,23,113,48,78,241.0,36.0,0,25,0,0,5,72,636,72.0,293.0
79,2014,7b112545-38e6-483c-a55c-96cf6ee49cb8,7b112545-38e6-483c-a55c-96cf6ee49cb82014,275,0,898,364,574,15,8,152,14,70,0,1,7,21,91,53,79,228.0,39.0,0,17,3,2,2,59,623,68.0,271.0
80,2014,c5a59daa-53a7-4de0-851f-fb12be893e9e,c5a59daa-53a7-4de0-851f-fb12be893e9e2014,194,0,835,377,596,11,6,183,20,75,0,0,11,15,124,75,119,295.0,42.0,1,8,2,0,2,45,641,103.0,438.0
81,2014,a20471b4-a8d9-40c7-95ad-90cc30e46932,a20471b4-a8d9-40c7-95ad-90cc30e469322014,258,0,932,332,566,11,8,168,18,61,0,0,11,9,117,88,96,261.0,41.0,1,17,1,1,2,77,674,70.0,317.0
82,2014,33405046-04ee-4058-a950-d606f8c30852,33405046-04ee-4058-a950-d606f8c308522014,251,0,922,346,537,8,5,174,13,60,0,0,7,14,104,61,92,217.0,41.0,0,11,3,1,1,61,671,69.0,296.0
83,2014,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,4254d319-1bc7-4f81-b4ab-b5e6f3402b692014,288,0,1034,385,585,14,10,131,14,47,0,1,12,24,151,64,75,210.0,36.0,0,7,1,1,3,70,746,94.0,316.0
84,2014,e6aa13a4-0055-48a9-bc41-be28dc106929,e6aa13a4-0055-48a9-bc41-be28dc1069292014,322,0,942,358,571,10,8,154,16,47,0,2,9,13,129,66,63,140.0,22.0,0,15,3,1,3,54,620,57.0,211.0
85,2014,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,f14bf5cc-9a82-4a38-bc15-d39f75ed53142014,307,0,903,360,569,20,11,155,14,57,0,0,10,18,104,73,80,268.0,40.0,0,8,0,2,5,41,596,66.0,278.0
86,2014,0d855753-ea21-4953-89f9-0e20aff9eb73,0d855753-ea21-4953-89f9-0e20aff9eb732014,253,0,893,343,552,10,5,157,12,41,0,1,6,22,144,57,68,188.0,34.0,2,9,0,0,1,60,640,64.0,255.0
87,2014,f0e724b0-4cbf-495a-be47-013907608da9,f0e724b0-4cbf-495a-be47-013907608da92014,170,0,816,324,562,10,6,181,23,45,1,0,5,16,91,83,79,196.0,36.0,0,13,1,0,1,72,646,76.0,304.0
88,2014,de760528-1dc0-416a-a978-b510d20692ff,de760528-1dc0-416a-a978-b510d20692ff2014,152,0,835,363,554,7,6,196,18,53,0,0,7,14,118,62,83,244.0,35.0,0,9,3,2,3,66,683,86.0,361.0
89,2014,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,3d08af9e-c767-4f88-a7dc-b920c6d2b4a82014,249,0,831,309,497,15,7,180,13,55,0,0,13,12,100,65,85,226.0,37.0,1,18,2,3,4,49,582,82.0,343.0
90,2015,768c92aa-75ff-4a43-bcc0-f2798c2e1724,768c92aa-75ff-4a43-bcc0-f2798c2e17242015,232,416,854,355,622,5,4,138,17,57,0,1,13,12,108,93,75,125.0,21.0,1,15,0,3,6,73,622,52.0,165.0
91,2015,4809ecb0-abd3-451d-9c4a-92a90b83ca06,4809ecb0-abd3-451d-9c4a-92a90b83ca062015,250,196,957,362,567,8,3,138,13,61,0,0,10,13,138,71,89,225.0,31.0,0,23,1,0,2,62,707,93.0,368.0
92,2015,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,5fee86ae-74ab-4bdd-8416-42a9dd9964f32015,298,510,867,355,625,13,10,177,18,91,0,1,6,15,108,77,116,270.0,39.0,0,23,0,1,2,72,569,61.0,281.0
93,2015,97354895-8c77-4fd4-a860-32e62ea7382a,97354895-8c77-4fd4-a860-32e62ea7382a2015,291,325,927,384,638,20,8,170,12,49,0,0,6,8,112,85,94,358.0,49.0,1,14,1,2,1,59,636,73.0,378.0
94,2015,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,ad4ae08f-d808-42d5-a1e6-e9bc4e34d1232015,265,233,911,436,681,10,6,203,21,70,4,0,6,10,126,87,110,288.0,42.0,0,38,2,0,4,61,646,71.0,345.0
95,2015,d5a2eb42-8065-4174-ab79-0a6fa820e35e,d5a2eb42-8065-4174-ab79-0a6fa820e35e2015,296,274,899,328,528,14,10,132,11,42,0,0,8,20,117,54,71,157.0,29.0,0,28,1,0,1,64,603,63.0,246.0
96,2015,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,ebd87119-b331-4469-9ea6-d51fe3ce2f1c2015,286,380,894,361,557,7,7,142,6,58,0,0,5,17,115,65,94,220.0,37.0,0,0,5,1,1,44,608,83.0,283.0
97,2015,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,cb2f9f1f-ac67-424e-9e72-1475cb0ed3982015,268,486,943,406,653,14,10,193,17,46,0,0,6,22,157,81,96,303.0,48.0,0,16,2,2,6,67,675,86.0,397.0
98,2015,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd92015,315,495,943,357,603,12,7,161,17,53,0,0,4,24,123,78,85,251.0,35.0,1,13,0,1,4,34,628,77.0,342.0
99,2015,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de2015,235,247,932,401,622,14,8,136,9,44,0,0,11,15,141,73,76,237.0,36.0,0,14,3,0,3,58,697,84.0,323.0
100,2015,82d2d380-3834-4938-835f-aec541e5ece7,82d2d380-3834-4938-835f-aec541e5ece72015,270,324,860,345,592,10,9,155,14,63,0,0,9,15,111,90,106,311.0,45.0,0,39,1,2,7,81,590,83.0,358.0
101,2015,d26a1ca5-722d-4274-8f97-c92e49c96315,d26a1ca5-722d-4274-8f97-c92e49c963152015,275,478,873,343,535,7,4,134,11,37,0,0,8,23,97,58,71,271.0,39.0,0,16,1,4,5,59,598,65.0,290.0
102,2015,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa02015,206,592,864,347,588,19,10,196,14,68,0,1,6,26,99,83,123,351.0,52.0,1,15,2,2,5,54,658,86.0,391.0
103,2015,6680d28d-d4d2-49f6-aace-5292d3ec02c2,6680d28d-d4d2-49f6-aace-5292d3ec02c22015,157,372,822,360,626,13,6,188,22,41,0,0,5,11,125,93,86,290.0,47.0,1,8,2,0,3,67,665,80.0,325.0
104,2015,1c1cec48-6352-4556-b789-35304c1a6ae1,1c1cec48-6352-4556-b789-35304c1a6ae12015,186,408,912,421,667,13,9,166,14,42,2,0,10,13,137,90,78,211.0,38.0,2,10,5,1,4,61,726,83.0,307.0
105,2015,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,e627eec7-bbae-4fa4-8e73-8e1d6bc5c0602015,310,154,947,339,511,5,2,126,8,52,4,0,6,19,127,54,76,229.0,31.0,1,15,3,1,2,39,637,80.0,318.0
